,product_class_id,product_subcategory,product_category,product_department,product_family
0,1,Nuts,Specialty,Produce,Food
1,2,Shellfish,Seafood,Seafood,Food
2,3,Canned Fruit,Fruit,Canned Products,Food
3,4,Spices,Baking Goods,Baking Goods,Food
4,5,Pasta,Starchy Foods,Starchy Foods,Food
5,6,Yogurt,Dairy,Dairy,Food
6,7,Coffee,Dry Goods,Baking Goods,Drink
7,8,Deli Meats,Meat,Deli,Food
8,9,Ice Cream,Frozen Desserts,Frozen Foods,Food
9,10,TV Dinner,Frozen Entrees,Frozen Foods,Food
10,11,Cheese,Dairy,Dairy,Food
11,12,Chips,Snack Foods,Snack Foods,Food
12,13,Fresh Vegetables,Vegetables,Produce,Food
13,14,Sour Cream,Dairy,Dairy,Food
14,15,Cottage Cheese,Dairy,Dairy,Food
15,16,Deli Salads,Side Dishes,Deli,Food
16,17,Dried Meat,Snack Foods,Snack Foods,Food
17,18,Paper Wipes,Paper Products,Household,Non-Consumable
18,19,Soda,Carbonated Beverages,Beverages,Drink
19,20,Deodorizers,Cleaning Supplies,Household,Non-Consumable
20,21,Cleaners,Cleaning Supplies,Household,Non-Consumable
21,22,Cleaners,Cleaning Supplies,Household,Non-Consumable
22,23,Shower Soap,Cleaning Supplies,Household,Non-Consumable
23,24,Fresh Fish,Seafood,Seafood,Food
24,25,Bagels,Bread,Baked Goods,Food
25,26,Muffins,Bread,Baked Goods,Food
26,27,Sliced Bread,Bread,Baked Goods,Food
27,28,Pancake Mix,Breakfast Foods,Frozen Foods,Food
28,29,Pancakes,Breakfast Foods,Frozen Foods,Food
29,30,Juice,Pure Juice Beverages,Beverages,Drink
30,31,Jelly,Jams and Jellies,Baking Goods,Food
31,32,Jam,Jams and Jellies,Baking Goods,Food
32,33,Preserves,Jams and Jellies,Baking Goods,Food
33,34,Waffles,Breakfast Foods,Frozen Foods,Food
34,35,Cereal,Breakfast Foods,Breakfast Foods,Food
35,36,Chocolate Candy,Candy,Snacks,Food
36,37,Gum,Candy,Snacks,Food
37,38,Hard Candy,Candy,Snacks,Food
38,39,Personal Hygiene,Hygiene,Health and Hygiene,Non-Consumable
39,40,Pots and Pans,Kitchen Products,Household,Non-Consumable
40,41,Tools,Hardware,Household,Non-Consumable
41,42,Sponges,Kitchen Products,Household,Non-Consumable
42,43,Beer,Beer and Wine,Alcoholic Beverages,Drink
43,44,Wine,Beer and Wine,Alcoholic Beverages,Drink
44,45,Cookies,Snack Foods,Snack Foods,Food
45,46,Pretzels,Snack Foods,Snack Foods,Food
46,47,Candles,Candles,Household,Non-Consumable
47,48,Sauces,Baking Goods,Baking Goods,Food
48,49,Cooking Oil,Baking Goods,Baking Goods,Food
49,50,Sugar,Baking Goods,Baking Goods,Food
50,51,Chocolate,Hot Beverages,Beverages,Drink
51,52,Flavored Drinks,Drinks,Beverages,Drink
52,53,Peanut Butter,Jams and Jellies,Baking Goods,Food
53,54,Popcorn,Snack Foods,Snack Foods,Food
54,55,Paper Dishes,Paper Products,Household,Non-Consumable
55,56,Plastic Utensils,Plastic Products,Household,Non-Consumable
56,57,Rice,Starchy Foods,Starchy Foods,Food
57,58,Soup,Canned Soup,Canned Foods,Food
58,59,Dehydrated Soup,Packaged Soup,Packaged Foods,Food
59,60,Frozen Vegetables,Vegetables,Frozen Foods,Food
60,61,Fresh Vegetables,Vegetables,Produce,Food
61,62,Canned Vegetables,Vegetables,Canned Foods,Food
62,63,French Fries,Vegetables,Frozen Foods,Food
63,64,Pizza,Pizza,Frozen Foods,Food
64,65,Hamburger,Meat,Meat,Food
65,66,Eggs,Eggs,Eggs,Food
66,67,Tofu,Packaged Vegetables,Produce,Food
67,68,Dish Soap,Bathroom Products,Health and Hygiene,Non-Consumable
68,69,Dishwasher Soap,Bathroom Products,Health and Hygiene,Non-Consumable
69,70,Aspirin,Pain Relievers,Health and Hygiene,Non-Consumable
70,71,Ibuprofen,Pain Relievers,Health and Hygiene,Non-Consumable
71,72,Acetominifen,Pain Relievers,Health and Hygiene,Non-Consumable
72,73,Nasal Sprays,Decongestants,Health and Hygiene,Non-Consumable
73,74,Mouthwash,Bathroom Products,Health and Hygiene,Non-Consumable
74,75,Cold Remedies,Cold Remedies,Health and Hygiene,Non-Consumable
75,76,Milk,Dairy,Dairy,Drink
76,77,Fresh Chicken,Meat,Deli,Food
77,78,Conditioner,Bathroom Products,Health and Hygiene,Non-Consumable
78,79,Shampoo,Bathroom Products,Health and Hygiene,Non-Consumable
79,80,Lightbulbs,Electrical,Household,Non-Consumable
80,81,Hot Dogs,Meat,Deli,Food
81,82,Crackers,Snack Foods,Snack Foods,Food
82,83,Dips,Snack Foods,Snack Foods,Food
83,84,Donuts,Snack Foods,Snack Foods,Food
84,85,Toilet Brushes,Bathroom Products,Household,Non-Consumable
85,86,Pot Scrubbers,Kitchen Products,Household,Non-Consumable
86,87,Pot Cleaners,Kitchen Products,Household,Non-Consumable
87,88,Toothbrushes,Bathroom Products,Health and Hygiene,Non-Consumable
88,89,Sunglasses,Specialty,Carousel,Non-Consumable
89,90,Coffee,Hot Beverages,Beverages,Drink
90,91,Bologna,Meat,Deli,Food
91,92,Non-Alcoholic Wine,Beer and Wine,Alcoholic Beverages,Drink
